Timestamp (steady),Current Tx,Ty,Tz,Rx,Ry,Rz,Expected Tx,Ty.1,Tz.1,Rx.1,Ry.1,Rz.1,Score,RMSE3D
1747315447282,-6.217248937900877e-15,0.0,-8.526512829121202e-14,-1.966077593898055e-17,0.0,2.3504177287422582e-18,0,0,0,0,0,0,100.0,2.361883950617377e-14
1747315447315,-0.0021355930010639734,-0.005850846987172256,-0.025442466543051954,-8.786637746264517e-05,-1.565001597092497e-05,-9.10365311715595e-06,0,0,0,0,0,0,100.0,0.47643242878474545
1747315447382,-0.0026793666540881863,0.008343783739004372,-0.03943153197251304,6.054183131112217e-06,-2.5987997085641368e-05,2.424936543650171e-05,0,0,0,0,0,0,100.0,0.4742663893546218
1747315447415,-0.010392710641613881,-0.0009568144934492762,-0.00015250680543942426,-3.411925097347771e-05,6.918485366158578e-05,8.181031803940232e-06,0,0,0,0,0,0,100.0,0.47397516406525797
1747315447482,-0.015444270182301696,-0.0044293408220620134,-0.036170879746642154,-5.0592772987749824e-05,5.7401273195756275e-05,2.4173353894805307e-05,0,0,0,0,0,0,100.0,0.49917778873727525
1747315447515,-0.0036896155186579966,0.003656888659473973,-0.004697382878709665,-1.7069297831304716e-05,-2.9088239785757253e-05,3.1753814773177777e-06,0,0,0,0,0,0,100.0,0.45407471401768684
1747315447583,-0.002368496730756507,-0.003049726211386884,-0.014775370834667552,-6.61366636013936e-05,-4.4220283908158464e-05,1.5734368552394348e-05,0,0,0,0,0,0,100.0,0.48130473651338473
1747315447616,-0.0005401926702926745,0.011857462021937557,-0.04742732527763122,5.524184869479385e-06,3.7137539041554035e-05,2.0001858960485917e-06,0,0,0,0,0,0,100.0,0.4581752071552194
1747315447682,-0.012832158756715404,0.0009011634883756862,-0.023124901907787064,2.683879525237976e-05,9.850190484694821e-05,2.8515249976860193e-06,0,0,0,0,0,0,100.0,0.4983481346850083
1747315447715,-0.007499259614423658,0.007178308565968677,-0.025939733135274003,2.5237947815604443e-05,1.1533029333321565e-05,2.7934500619514814e-05,0,0,0,0,0,0,100.0,0.4590713531781405
1747315447782,0.0029836286598882013,-0.0009831578932802802,-0.005934721653210432,-9.54175775577636e-06,-2.5063678810610668e-05,6.090626078579567e-06,0,0,0,0,0,0,100.0,0.43464870055907523
1747315447815,0.0020111793919118724,-0.0029558975685196644,-0.018462768015739938,-2.5248152199973164e-05,-6.434011516009974e-06,-2.630780597866117e-05,0,0,0,0,0,0,100.0,0.43598757440365965
1747315447882,0.008953939595020098,0.0012800577599210699,-0.015378312723606097,-7.509736340801802e-05,-2.6337123163688858e-05,-1.934685154243152e-05,0,0,0,0,0,0,100.0,0.5084453711446648
1747315447950,-0.003510649737692672,-0.004689368535898425,-0.007717386034273109,-5.500445518002006e-05,2.21590772506719e-05,-1.2457129759176544e-05,0,0,0,0,0,0,100.0,0.5194149300582686
1747315447983,-0.004127171698669068,-0.004116539850559166,-0.028248028995750928,-3.753847498340561e-05,9.963170977345115e-06,1.0854534983478126e-06,0,0,0,0,0,0,100.0,0.45559928955188783
1747315448016,0.00570823917990135,-0.005615673807518841,0.00605031589670361,-4.971183353569373e-05,-5.051870236361111e-05,-1.7617281066941816e-05,0,0,0,0,0,0,100.0,0.4908112367176294
1747315448083,0.012513639137874026,-0.01116374414301981,-0.00026952824971322677,-3.7715532389189145e-05,-4.4436412740989084e-05,-1.1761174021371625e-05,0,0,0,0,0,0,100.0,0.43902395182672294
1747315448116,0.008910840424245036,0.0007203966175517434,-0.019826925618674603,-3.919171521002407e-05,-3.8031574406405255e-05,-3.017153906184921e-05,0,0,0,0,0,0,100.0,0.5079109456472617
1747315448183,-0.008963402144650436,0.0020202077578253745,0.000179943909264602,-2.9196496913092437e-05,3.029136828369694e-05,3.3937087401308058e-06,0,0,0,0,0,0,100.0,0.4910845839097712
1747315448216,-0.0005710530809716883,0.011560600567179783,-0.03350176660224348,-1.8127252437465968e-05,5.6406914618722936e-05,-3.475053546363059e-05,0,0,0,0,0,0,100.0,0.4474186466672321
1747315448283,0.0026830249189900603,-0.002334978046498166,-0.005110899085899164,-2.329747225723442e-05,-1.365150626653211e-05,3.4333296036282525e-06,0,0,0,0,0,0,100.0,0.46061444730762857
1747315448350,0.0011571363685779885,-0.005270798111012987,0.0017994514261604909,-4.425306800280877e-05,-3.735368880164458e-05,1.7471491076453765e-05,0,0,0,0,0,0,100.0,0.477966954068184
1747315448384,0.004148438633182774,0.008259662592470365,-0.037883158109452295,-4.6472220904146116e-05,-2.6268576246879505e-05,-1.3666413223362314e-05,0,0,0,0,0,0,100.0,0.45334731230533787
1747315448416,-0.012688736645379438,0.003721666804757697,-0.004219676928640104,-3.806099841741214e-05,7.234255000732048e-05,1.7161829558854952e-05,0,0,0,0,0,0,100.0,0.49870722133828416
1747315448483,0.004528197641000253,-0.0030869088979586573,-0.0009718339252649616,-5.883718130400574e-05,-4.091452588084188e-05,-1.3572436384189924e-05,0,0,0,0,0,0,100.0,0.4915619712277936
1747315448550,-0.00021975831255653932,-0.006959308338842814,-0.02132600420664552,-3.120812119022442e-05,3.0494652655255194e-05,-8.450427321591808e-06,0,0,0,0,0,0,100.0,0.43987046256912116
1747315448583,0.009544873069267957,-0.0010893940187841843,-0.013637076349500366,-3.794852074219574e-05,-3.076835964543889e-05,-2.386302414292473e-05,0,0,0,0,0,0,100.0,0.436804289959907
1747315448650,0.0038263846346601833,0.00846730414891574,-0.031199662062556602,2.165285586174836e-06,-1.4650713451525021e-05,-6.450977268151231e-06,0,0,0,0,0,0,100.0,0.4590173391196401
1747315448683,-0.007963461980948328,0.006790068196918429,-0.018549017826096716,-2.715248376329296e-05,2.8084426966890064e-05,1.1977847111504272e-05,0,0,0,0,0,0,100.0,0.5106925277836508
1747315448750,0.0012549689812620078,0.0016354609236496824,-0.012415727955609012,-4.545049600511924e-05,-2.3040555888309555e-05,-1.3874280176260098e-06,0,0,0,0,0,0,100.0,0.4701102160534415
1747315448783,-0.0027169573332050485,-0.012304458655823918,-0.005516219519546708,-6.94394112741089e-05,2.9000085466579506e-05,-2.9765134120490786e-05,0,0,0,0,0,0,100.0,0.4885884169455869
1747315448850,-0.0006597981966523193,-0.006014694150599615,-0.010120144457681352,-7.39519510825948e-05,-4.335744025385502e-05,1.591735921429999e-05,0,0,0,0,0,0,100.0,0.4726423418520235
1747315448883,0.008466047755150537,0.004158884254179433,-0.021491454649221805,-4.436370377195293e-05,-6.916379621113578e-05,-8.230190918824282e-06,0,0,0,0,0,0,100.0,0.5145566613899447
1747315448950,-0.006595576665139023,-0.00407762314439724,-0.023099998732172226,-5.528544274380773e-06,3.09672900873359e-05,3.299776078024513e-06,0,0,0,0,0,0,100.0,0.4497601953330344
1747315448984,0.010553663055567382,0.007015369804448532,-0.01197709058231654,-2.1118107455745775e-05,-4.281312206910748e-05,-3.671767168803631e-05,0,0,0,0,0,0,100.0,0.5016314756470845
1747315449050,-0.00162337510681782,-0.004670040054302804,0.00941926460407926,-2.6485020351114916e-05,-9.44081032727695e-06,1.3369030899845728e-05,0,0,0,0,0,0,100.0,0.4737229880050115
1747315449084,-0.0005545498526765185,-0.005971816655527645,-0.01944242080177947,-3.1636064913825285e-05,-4.467783704842354e-05,2.0589772743319473e-05,0,0,0,0,0,0,100.0,0.4312873524978679
1747315449150,0.003554368514524247,0.005083293369708543,-0.030531934188405805,-3.778411409069584e-05,-2.7960896271883584e-05,-2.4824253642075826e-05,0,0,0,0,0,0,100.0,0.48838126241848356
1747315449184,-0.006048132658490175,-0.016750674406898005,-0.0275513593061066,-6.407126621822248e-05,4.455204235798149e-05,1.6289833037758857e-06,0,0,0,0,0,0,100.0,0.4631692870576697
1747315449250,0.004952564813424589,0.002286784134763877,-0.02266622608353292,-4.959503702590651e-06,-1.532927759284597e-05,-1.0382454209713711e-05,0,0,0,0,0,0,100.0,0.4642673410263673
1747315449317,-0.0027518914209343566,0.0062028098061597155,-0.014628560712883138,-1.8719707127688027e-05,-2.4383620741641465e-05,1.415701667131426e-05,0,0,0,0,0,0,100.0,0.4283096543740638
1747315449350,-0.005588847069716481,-0.0060898324955993895,-0.007455022157136835,-2.8231903103744695e-05,-1.3277251355692243e-05,2.474971174930718e-05,0,0,0,0,0,0,100.0,0.4389170551525023
1747315449384,0.0026420046427026917,0.0006133428144775343,-0.041614308642878566,-3.3241435013430696e-05,1.7102728375739673e-06,4.371983929706517e-06,0,0,0,0,0,0,100.0,0.4553889524550326
1747315449450,0.0037862950655122556,0.001110616400835265,-0.00937800047500998,-1.55853188098364e-05,-7.914555219867836e-06,-2.6041221899223792e-05,0,0,0,0,0,0,100.0,0.48709698777281724
1747315449484,-0.0005485309368576995,-0.0025620251523529635,0.001102100314548054,-2.0686791685237242e-05,8.66973107815916e-06,-1.4497831271127745e-05,0,0,0,0,0,0,100.0,0.4775817392031254
1747315449551,-0.002052322613811143,-0.004838259045285315,0.005406354276195549,-2.8863557890635827e-05,1.1048283109049706e-05,-1.791672295600367e-06,0,0,0,0,0,0,100.0,0.4819903689695235
1747315449584,0.002102358961565894,-0.0026998861174130544,-0.007801637527766367,-1.429960805467554e-06,1.8392186595939108e-07,-6.574860501321853e-06,0,0,0,0,0,0,100.0,0.44858470613210977
1747315449651,0.0020460877972668908,-0.002869971516886308,-0.023321290722530547,-2.931216414031791e-05,6.904712536170976e-06,-1.9524743405335156e-05,0,0,0,0,0,0,100.0,0.46542279607091985
1747315449684,-0.0007894446700756462,-0.006303733160879311,-0.012594289791516335,-7.856304225203884e-05,1.8330537097099864e-05,-9.137006195422956e-06,0,0,0,0,0,0,100.0,0.4962768798982348
1747315449751,-0.0037512730561362834,0.0022667021741994116,0.010178394175043608,-1.76038635853813e-05,-2.1325481784240097e-05,2.1399345775542337e-05,0,0,0,0,0,0,100.0,0.5026942061517662
1747315449784,0.004099388238563155,-0.00029023600790967506,-0.0026783112862857894,-1.5180263187792739e-05,-3.843950666149176e-05,-5.895943043593267e-06,0,0,0,0,0,0,100.0,0.4630324403613358
1747315449851,0.0005124348336497315,-0.00019277976184360203,-0.014086559803219626,1.688357199155149e-05,-2.4938577311672816e-05,1.6348720413248167e-06,0,0,0,0,0,0,100.0,0.46904709844776754
1747315449884,0.002424029722099594,0.005184411555283831,-0.04032987309752547,-9.565620016544307e-06,-1.0804351634474685e-05,1.281572233117371e-05,0,0,0,0,0,0,100.0,0.4717267425827678
1747315449951,-0.0074068035872559106,0.008308587314791603,-0.032924587387922005,-9.515172275934638e-06,2.491788427705366e-05,2.9933011933691757e-06,0,0,0,0,0,0,100.0,0.45870654699476293
1747315449984,0.009573486088857584,0.005831643770140215,-0.026742653347965602,-3.687529693731721e-05,-4.425497445925686e-05,-3.29869942442516e-05,0,0,0,0,0,0,100.0,0.4660660233336487
1747315450051,0.0010670977258529493,-0.004358652228995708,-0.006114390256768801,-3.8346837712385566e-05,1.1256161000172682e-05,-1.7724281973814288e-05,0,0,0,0,0,0,100.0,0.48227745281087936
1747315450118,-0.0014284715915991193,-0.00539954333842823,-0.007694952246064379,-6.161787587870133e-05,-7.36251510469188e-06,9.535688281915856e-06,0,0,0,0,0,0,100.0,0.4843785291847688
1747315450151,0.005390012350115168,0.004724202752992461,-0.009521803949424474,-5.865678302094759e-05,-3.8714646458881674e-05,6.971547902543524e-06,0,0,0,0,0,0,100.0,0.4977234350844767
1747315450185,-0.00309437968634247,-0.012098505976459758,-0.027152587094757152,-4.3475350255642455e-05,3.108568758602992e-05,-3.580287032625234e-06,0,0,0,0,0,0,100.0,0.44513988181163405
1747315450251,0.005475412006753224,-0.0049317389055356575,-0.016506517598841922,-5.419628614231329e-05,-4.169910939877397e-06,-4.9151907512112635e-05,0,0,0,0,0,0,100.0,0.48050708105815526
1747315450285,-0.006833158795646975,-0.0009782592013048617,-0.01944262830205918,-7.454272547473746e-06,3.927303160122797e-05,-1.2469297904758474e-05,0,0,0,0,0,0,100.0,0.4493370631075549
1747315450351,-0.0030451599653794556,-0.009162557960520793,0.009273787635894792,-5.9417319012001755e-05,-2.13127236508015e-05,3.695853989134701e-05,0,0,0,0,0,0,100.0,0.4806550038204621
1747315450418,0.006543563720910238,-0.007994702792431014,-0.016851768251818996,-5.594460739662286e-05,-3.926697339284857e-05,-1.576847358171611e-05,0,0,0,0,0,0,100.0,0.4659178155360633
1747315450452,-0.0052823379399169,0.009374693469232228,-0.0367393787458746,-5.338960260487707e-06,4.807065109257991e-05,4.1349720858359763e-07,0,0,0,0,0,0,100.0,0.4487996095490889
1747315450519,-0.002823908204945842,0.008400601165873696,-0.02123765431855982,1.831367557924661e-05,4.393435952221303e-05,-5.319513157620239e-06,0,0,0,0,0,0,100.0,0.4500780084867585
1747315450552,0.006655967224886173,0.002409325798913765,-0.011493965039681,-4.338923800094194e-05,-4.47947261901227e-05,-3.344724948685539e-05,0,0,0,0,0,0,100.0,0.49759483462158227
1747315450618,-0.0020260777449733376,0.0013936387980808015,-0.020457724439471664,-5.352359394986451e-05,1.1426534092251472e-06,1.567882149562936e-05,0,0,0,0,0,0,100.0,0.4603193170154208
1747315450652,0.00966177574892564,0.004128698045754055,-0.020975649816601154,-4.8387463211163514e-05,-3.595861949534651e-05,-1.3200092694569396e-05,0,0,0,0,0,0,100.0,0.5031912330392765
1747315450718,-0.002879967308171239,-0.001936209708658154,-0.016275156578562936,-5.532198253137097e-05,6.624671801125359e-06,6.92034659586439e-07,0,0,0,0,0,0,100.0,0.5084191291985322
1747315450752,-0.0064117970148693405,-0.005395198624511465,-0.005426964466729603,-2.8778710439717256e-05,4.7144455428860255e-05,-1.2890534663997883e-05,0,0,0,0,0,0,100.0,0.47593163202753236
1747315450819,0.0008206888514083816,-0.003933130547610007,-0.007541399068483858,-6.417017709570571e-05,-1.648138923759923e-05,8.480854123686248e-06,0,0,0,0,0,0,100.0,0.4894450614448934
1747315450852,-0.00189646251564692,0.0002777303175116116,-0.011628672004708917,-3.464345915352359e-05,-5.529184407215837e-06,1.3009877833996554e-05,0,0,0,0,0,0,100.0,0.49495491782719725
1747315450919,0.009343622709325069,0.001473914567231815,-0.025589461739110093,-6.885248029491304e-05,-6.206237095995881e-05,-3.0107604541836253e-05,0,0,0,0,0,0,100.0,0.49971087821942933
1747315450952,-0.0024939786487497215,0.0059392100948200514,-0.011742816399364683,-1.130503524170297e-05,2.1194288350789847e-05,-3.100475881139394e-05,0,0,0,0,0,0,100.0,0.5500250976220336
1747315451019,-0.005341028567971427,-0.001167972868296056,-0.009262599508571823,1.3988952721702086e-05,2.7409492082242082e-05,1.357670543976029e-05,0,0,0,0,0,0,100.0,0.44030051001910514
1747315451052,-0.003912589520914984,0.004365947678875349,-0.0208754565591518,-3.5980031110456494e-05,4.733242023946538e-05,-1.8460728150548303e-05,0,0,0,0,0,0,100.0,0.4800931064718004
1747315451119,-0.006614271797189269,-0.0054941708797178225,-0.008808170178460277,1.8924482598735744e-06,-9.881050901938693e-06,2.7740249565361705e-05,0,0,0,0,0,0,100.0,0.4653764682850997
1747315451186,0.009930607562556752,-0.004675273538829391,-0.0320924408081576,-1.3201303904121497e-05,-5.7424040616149696e-05,-5.62888577166331e-06,0,0,0,0,0,0,100.0,0.4737738504692276
1747315451219,0.0020395518982511546,0.010220493724889075,-0.03133112070212323,-5.958643652442628e-05,1.0447803993729465e-05,-2.7468407977530565e-05,0,0,0,0,0,0,100.0,0.512550408492267
1747315451253,-0.00046202447273661885,0.004727802817797931,-0.025071445627368377,-3.703835632313659e-05,1.385590866442854e-05,-1.6444181113610194e-05,0,0,0,0,0,0,100.0,0.47492522780843
1747315451319,0.0007949307658081126,0.0018939784468631718,-0.012145410708258524,-5.461426300516429e-05,3.4678697037326955e-05,-4.255536484476925e-06,0,0,0,0,0,0,100.0,0.5038764518350587
1747315451353,0.0005336451474124983,-0.001103119925647287,-0.011130517281174788,-6.393927868268e-05,-2.3473873942414514e-05,8.544514378473156e-06,0,0,0,0,0,0,100.0,0.47361272089886153
1747315451419,0.00806692700061552,-0.002537502515988202,-0.008521807675775508,-4.053461381913937e-05,-5.3278255030431154e-05,-4.763893011207785e-06,0,0,0,0,0,0,100.0,0.45324767072647565
1747315451453,-0.008962934669613823,0.003824344890976312,-0.022407066901826964,-3.30657168780492e-05,5.577584084681675e-05,-7.403020461532359e-06,0,0,0,0,0,0,100.0,0.49091537288555204
1747315451519,0.0033489139495228156,0.004516157417142975,-0.007817048411727232,-4.0359911277719664e-05,-5.1580422617103494e-05,-6.700670526279269e-06,0,0,0,0,0,0,100.0,0.5105480336425122
1747315451553,0.004310434566935183,-0.00955026673328067,-0.009731651291682505,-4.606759282478586e-05,-8.02706566482847e-06,-2.4856796473137776e-05,0,0,0,0,0,0,100.0,0.487074433546666
1747315451620,0.005268360915612811,-0.015512593649483413,-0.021528769800865145,-5.3335030824905735e-05,-3.473598083036933e-05,-2.2314941350968513e-05,0,0,0,0,0,0,100.0,0.44918354122601983
1747315451653,0.0059298543588670784,-0.0005791476859227224,-0.023757605173389994,-5.488215066632857e-05,-3.737246773405367e-05,-1.0027205720145197e-05,0,0,0,0,0,0,100.0,0.4678017040956116
1747315451719,-0.003563946292097498,0.01573346725996335,-0.046233797526638,1.1916861349935798e-05,2.158717701372659e-05,7.711204229203722e-06,0,0,0,0,0,0,100.0,0.4560932658203514
1747315451786,-0.0002326542692239765,0.008042410246865573,-0.035853429953221,-4.343456479265876e-05,2.18666145759272e-05,-7.551322782380139e-06,0,0,0,0,0,0,100.0,0.4653705522706074
1747315451820,-0.001209755357991933,0.005265412907211618,-0.030825077894256016,3.5704865997726136e-06,1.3690320563863878e-05,2.7746469124837723e-06,0,0,0,0,0,0,100.0,0.4536248620836195
1747315451886,0.0005658715844421977,-0.005961575351524259,-0.01864464310504403,-5.292084007671375e-05,2.9746487558268697e-05,-1.8258919947495474e-05,0,0,0,0,0,0,100.0,0.4761755382773743
1747315451920,0.005732632683714496,0.0013392605320471443,-0.011729905180793176,-3.864881234770125e-05,-6.16122604635283e-05,8.74178770111752e-06,0,0,0,0,0,0,100.0,0.47469474949779267
1747315451953,0.012653389413156456,0.00404427032115607,-0.039286357172504394,-6.756832730567806e-05,-2.6717744634696672e-05,-3.4417550631473644e-05,0,0,0,0,0,0,100.0,0.5190193749647158
1747315452020,-0.004525050576454838,0.0005048793562972523,-0.029866089426884176,-5.368373012579131e-05,3.644273280412058e-05,5.613375904570629e-06,0,0,0,0,0,0,100.0,0.47981259596074594
1747315452053,0.004614575973894201,-0.009373940257591551,-0.015139249837594624,-2.6511682890703807e-05,-1.087610139127726e-05,-1.4658123621488083e-05,0,0,0,0,0,0,100.0,0.4569302819867584
1747315452120,-0.00825122006737662,0.0026787624980649893,-0.01335442773643284,-4.160348872585975e-05,-1.373750685940145e-05,4.255148879917542e-05,0,0,0,0,0,0,100.0,0.49338938294033946
1747315452154,0.004597351649395866,0.007567965540102726,-0.016189817677291763,-2.102462000566906e-05,-8.059404370275303e-05,-8.625242147589201e-07,0,0,0,0,0,0,100.0,0.48332373009630497
1747315452220,0.010698861198835969,-0.008701435909549771,-0.02646130048087051,-1.854068042662987e-05,-5.593624036270839e-05,-1.0675232305916527e-05,0,0,0,0,0,0,100.0,0.4486778887966632
1747315452254,-0.003340636750399021,0.008795307645496433,-0.03791077782329625,3.913955260953453e-06,2.5771271697561104e-05,1.8434379770660432e-06,0,0,0,0,0,0,100.0,0.4372771439228765
1747315452320,0.0039022687894369992,-0.00021045219580545922,-0.015845879644908634,-6.581179278140118e-05,-2.8970780181492017e-06,-3.103866639316492e-05,0,0,0,0,0,0,100.0,0.4956690386083173
1747315452353,0.0040445073813551195,-0.0028143694580916472,-0.009937125500698092,-3.637064846497966e-05,2.3602719443349685e-05,-1.5741417753955554e-05,0,10,0,0,0,0,100.0,0.48846398376512573
1747315452420,0.002088798467152485,-0.0058294118464783905,-0.017723618804154666,-2.119910619608481e-05,-4.465013425458686e-05,3.121303702225051e-05,0,10,0,0,0,0,100.0,0.4364458619340191
1747315452454,0.005294691652796249,0.006400759076370641,-0.027269920453962426,-1.7306805619082437e-06,-2.8075369620683688e-05,2.8554215139699466e-06,0,10,0,0,0,0,100.0,0.4466443836901639
1747315452520,0.0018363169679354767,-5.834394312844595e-05,-0.009759572415346996,-4.603129014344542e-05,2.445792892213916e-06,-1.1149483871949024e-05,0,10,0,0,0,0,100.0,0.45034874048930773
1747315452554,0.004126230509674589,0.00727540319549542,-0.04106846725315767,-7.875533941322081e-06,-3.148333156466343e-05,1.2714546761928788e-05,0,10,0,0,0,0,100.0,0.4645768762921212
1747315452620,-0.004876979069865792,0.0002707954792616081,-0.009996806019081173,-4.593141618314555e-05,3.482423006739843e-05,-1.2792813217004738e-05,0,10,0,0,0,0,100.0,0.4450238677003264
1747315452654,-0.0009799343876384574,0.0014744755365242183,-0.011238417837524847,-5.283441676305868e-05,-3.745329416648957e-05,1.445690294378663e-05,0,10,0,0,0,0,100.0,0.4873230190807858
1747315452720,0.008754065061808846,0.0004276250987324505,-0.0438244981363693,-7.200640984641126e-05,-1.4538083271453672e-05,-2.6418798345429543e-05,0,10,0,0,0,0,100.0,0.4732630257599257
1747315452754,-0.0011390170390747586,-0.007491368636562045,-0.028833674915957105,-1.8373093412534874e-05,1.0230679237110962e-07,-3.6454443726755895e-06,0,10,0,0,0,0,100.0,0.4436250496929977
1747315452821,-0.004838276433742448,0.005855709219713191,-0.04066086204916315,-3.356342471535036e-05,2.8330057180170343e-05,-1.416350737280925e-05,0,10,0,0,0,0,100.0,0.4443432132736428
1747315452854,0.0028560424901886553,0.003777543949498677,-0.01530178824856861,-6.1093566817962705e-06,-4.9809665758626664e-05,5.228171615875167e-06,0,10,0,0,0,0,100.0,0.4555360514880767
1747315452921,0.0071184193992344874,8.371387944749393e-05,-0.013441672289610315,-6.501902847915099e-05,-7.632663229095726e-05,-7.185363109266606e-06,0,10,0,0,0,0,100.0,0.466125647317218
1747315452954,0.012600103615367527,-0.00257978757301835,-0.021958595416604266,-5.476755726166815e-05,-3.9602029184404586e-05,-2.9145556029562338e-05,0,10,0,0,0,0,100.0,0.47725495714460847
1747315453021,-0.013823477076609515,0.008914470595718758,-0.03431842914848377,1.7408175805272894e-05,1.99384756545129e-05,3.9362677769017105e-05,0,10,0,0,0,0,100.0,0.46100582953431685
1747315453054,0.012758680757612925,0.005691731527420798,-0.008976462439092581,2.2524488806086963e-05,-3.0332939284560823e-05,-4.2591399755122924e-05,0,10,0,0,0,0,100.0,0.4402449228768167
1747315453121,0.002216677761987091,0.002307996993583729,-0.02569936576959024,-3.472123202753841e-05,3.524976140978353e-06,-4.997575540719263e-06,0,10,0,0,0,0,100.0,0.49304895992972425
1747315453155,0.009928493612835357,0.0020157122045109423,-0.012317586628373315,-4.477073895421486e-05,-4.641143368244727e-05,-1.1245841573801842e-05,0,10,0,0,0,0,100.0,0.4756099786164195
1747315453221,0.012134923493096163,0.0031525786520977266,-0.03481486357461687,-2.2493296898230755e-05,-6.891861452595904e-05,-1.458007620963588e-05,0,10,0,0,0,0,100.0,0.44468033881839675
1747315453254,-0.0045801341554938665,0.00136474993175812,-0.028029994527639726,-6.545212046142982e-05,9.461072460359432e-06,1.7126153357896032e-05,0,10,0,0,0,0,100.0,0.4806069365793593
1747315453321,-0.007191373915110416,-0.0007407571736274579,-0.024911554178929173,-5.7959264436244256e-05,5.028852699373587e-05,1.3148809307717508e-05,0,10,0,0,0,0,100.0,0.48587577765948514
